	sentiment	content
0	empty	@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
1	sadness	Layin n bed with a headache  ughhhh...waitin on your call...
2	sadness	Funeral ceremony...gloomy friday...
4	neutral	@dannycastillo We want to trade with someone who has Houston tickets, but no one will.
5	worry	Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
6	sadness	I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!
7	worry	Hmmm. http://www.djhero.com/ is down
8	sadness	@charviray Charlene my love. I miss you
9	sadness	@kelcouch I'm sorry  at least it's Friday?
10	neutral	cant fall asleep
11	worry	Choked on her retainers
12	sadness	Ugh! I have to beat this stupid song to get to the next  rude!
13	sadness	@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
14	surprise	Got the news
15	sadness	The storm is here and the electricity is gone
16	love	@annarosekerr agreed
17	sadness	So sleepy again and it's not even that late. I fail once again.
18	worry	@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
19	sadness	How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
20	worry	@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
21	fun	Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore
22	neutral	No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
23	worry	I ate Something I don't know what it is... Why do I keep Telling things about food
24	sadness	so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
25	worry	On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
26	sadness	@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!
27	worry	Damm servers still down  i need to hit 80 before all the koxpers pass me
28	sadness	Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
30	hate	It is so annoying when she starts typing on her computer in the middle of the night!
31	neutral	@cynthia_123 i cant sleep
32	neutral	I missed the bl***y bus!!!!!!!!
35	neutral	Screw you @davidbrussee! I only have 3 weeks...
37	worry	I need skott right now
38	neutral	has work this afternoon
39	neutral	@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry
40	happiness	mmm much better day... so far! it's still quite early. last day of #uds
41	fun	@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
42	worry	just picked up her Blackberry from the middle of the street! Both she and it are crushed!
43	worry	Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
44	empty	@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken
45	worry	Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now
46	worry	@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also
49	neutral	wnna take a bath!!!!
50	neutral	Chocolate milk is so much better through a straw. I lack said straw
51	worry	why am i so tired?
53	neutral	@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs
54	neutral	@benballer  no way! damn that sucks B!  are you ok?
55	worry	sucks not being able to take days off of work or have the money to take the trip  so sad
56	enthusiasm	bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to
57	neutral	@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope
58	neutral	@lostluna But I got dibs on Sulu...
60	worry	@itsgabbith at once haha.  poor aby still gets sore!
61	sadness	diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
62	sadness	I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
63	sadness	@Pokinatcha  in all honesty...pain   blech.
65	neutral	At home alone with not much to do
66	worry	@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.
67	sadness	@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
68	worry	So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
70	neutral	I cant give @jertronic any bday nudges.
71	worry	...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'
72	neutral	Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.
73	neutral	says I miss plurking.  http://plurk.com/p/wxion
74	worry	Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water
75	neutral	I miss Voobys!
77	happiness	@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?
78	worry	is sad that shin ae got married...and it wasn't to alex
79	worry	@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.
80	sadness	@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
81	neutral	there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.
82	sadness	@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.
84	sadness	@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
85	worry	fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw
86	hate	dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
87	worry	@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you
88	worry	I can't sleep...I keep thinking about the puppy I played with today
89	worry	.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh
90	neutral	@lepetitagneau what's going on sweetheart?
91	neutral	How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows
92	worry	Last one month due to summer, strawberry is not availble in the Chennai markets!
94	love	@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
